,avg_shortest_path_len_m3,avg_clus_coef_m3,net_diameter_m3,susceptibility_3m,corrlength_3m,percolation_3m,avg_degree_3m,n_nodes_3m,n_edges_3m,fractal_dimension_3m,error_ratio_3m,time_window
0,2.5934065934065935,0.5224489795918367,6,4.570996978851963,11,0.04229607250755287,2.809667673716012,331,465,,,1974-09
1,4.241545893719807,0.48087395696091345,11,4.931993817619785,14,0.07109737248840804,2.8809891808346215,647,932,1.0849003270818989,0.31202326360378224,1974-12
2,5.812734082397004,0.46425822180724147,15,6.660377358490566,30,0.10613207547169812,3.018867924528302,848,1280,1.2926037225997682,0.3399686871080411,1975-03
3,8.62381093307403,0.5077630620264189,23,4.847908745247149,20,0.20722433460076045,3.1692015209125475,1052,1667,1.4337065671116584,1.6712629832495185,1975-06
4,8.406870726147835,0.5388169584248016,21,5.116134060795012,21,0.25954793452844893,3.3655494933749024,1283,2159,1.6255243895134948,0.7554347458048708,1975-09
5,7.9972590315916765,0.5757808748741222,20,5.612299465240641,34,0.29812834224598933,3.6136363636363638,1496,2703,1.7825576216596024,0.7308048414463431,1975-12
6,8.161070718383076,0.6107628441243892,21,4.6,31,0.39647058823529413,3.8388235294117647,1700,3263,1.9002023068914227,0.6756259390173447,1976-03
7,7.712264762019916,0.613809595891621,17,4.5774946921443735,31,0.4426751592356688,4.09660297239915,1884,3859,2.1003255513647017,0.23467848816365672,1976-06
8,7.54197772173182,0.6095007437564638,20,4.188109161793373,29,0.4756335282651072,4.251461988304094,2052,4362,2.0477320113499933,3.2481072702024907,1976-09
9,7.569157301244939,0.6035991060527358,22,3.821282401091405,31,0.5229649840836744,4.380172805820828,2199,4816,1.962901635273782,4.414405285443427,1976-12
10,7.232474666419944,0.6141531213034827,22,3.268498942917547,31,0.5492600422832981,4.457505285412262,2365,5271,2.1081101500688586,1.4076194133143454,1977-03
11,7.455253908754252,0.624325123622373,24,2.8430047694753573,29,0.579093799682035,4.584260731319555,2516,5767,2.1561022171200745,0.5696836940639456,1977-06
12,7.463035904749762,0.6144996942947393,26,2.700641751604379,44,0.6111740279350698,4.6946017365043415,2649,6218,2.073993645094545,1.3644617266671037,1977-09
13,7.332154400373134,0.6188178723464587,22,1.8211497515968773,15,0.6557842441447835,4.956706884315117,2818,6984,2.1380233175324252,0.40850232922003327,1977-12
14,7.351789704954462,0.6168418637094123,24,1.6431972789115645,15,0.6785714285714286,5.040136054421769,2940,7409,2.21057111293203,0.670142304907551,1978-03
15,7.09943303750528,0.6187484979890719,22,1.480038948393379,15,0.7046413502109705,5.311262577085362,3081,8182,2.3579726818122904,0.289819117460702,1978-06
16,6.834132085945271,0.6214018031019127,20,1.585402786190188,22,0.7095699576014537,5.667474258025439,3302,9357,2.4000157105639284,0.44967321787046216,1978-09
17,6.6904491708921645,0.6162009964280343,20,1.542426875181002,27,0.7295105705183899,5.877208224732117,3453,10147,2.422342529764874,0.40099184564145957,1978-12
18,6.550161643926683,0.6145276943262242,20,1.6771939631078814,27,0.7353269983230856,5.97261039686976,3578,10685,2.4795885861666496,0.6389561645100591,1979-03
19,6.51465908390991,0.616060465148957,19,1.587709799675149,30,0.7463454250135355,6.062804547915539,3694,11198,2.5220922832206494,0.6449866472127782,1979-06
20,6.466775264728406,0.6238406073624414,19,1.3567891581965073,30,0.7591868647380766,6.241855616366953,3837,11975,2.4316487668853104,0.3214643912998511,1979-09
21,6.3190826417133605,0.6213981392994061,19,1.3632241813602015,33,0.7652392947103275,6.392947103274559,3970,12690,2.562505103157927,0.41859276490203173,1979-12
22,6.208260179257362,0.622442334012364,19,1.4561360874848115,33,0.7594167679222357,6.52685297691373,4115,13429,2.586822801300762,0.5699733734491049,1980-03
23,5.99659931353704,0.6279909190041496,18,1.358807082945014,33,0.7707362534948742,6.757688723205964,4292,14502,2.6521604797735643,0.38885808199053906,1980-06
24,6.035704817557446,0.632607075436655,18,0.9618079096045198,16,0.7952542372881356,6.873672316384181,4425,15208,2.7199985906734474,0.29593067471555906,1980-09
25,6.031384942567629,0.6322838058202719,19,0.948864888692969,16,0.8031739034604364,6.97156711483359,4537,15815,2.6641351922642023,0.23305731503460123,1980-12
26,5.948088730569483,0.6324938800752383,19,0.9562122519413289,17,0.8056514236410699,7.0465918895599655,4636,16334,2.6776440059758224,0.31824196989421527,1981-03
27,5.874517467960675,0.6298574404977596,17,0.9220779220779222,17,0.8102220360284876,7.174696271470465,4774,17126,2.7167268150974517,0.10222456043779021,1981-06
28,5.817122581662819,0.631137375571078,18,0.8801551653736219,17,0.8180890159248673,7.296855859534504,4898,17870,2.688569279830559,0.3112599478209852,1981-09
29,5.801759045456786,0.6306854909835453,18,0.8351539225422047,16,0.8278053624627607,7.433962264150943,5035,18715,2.78255679055817,0.20335496048207863,1981-12
