,avg_shortest_path_len_m3,avg_clus_coef_m3,net_diameter_m3,susceptibility_3m,corrlength_3m,percolation_3m,avg_degree_3m,n_nodes_3m,n_edges_3m,fractal_dimension_3m,error_ratio_3m,time_window
0,3.3947639661925377,0.6530780034521851,8,11.571167883211679,47,0.18065693430656934,5.288321167883212,548,1449,1.7770115665145232,0.06429322537468153,2003-09
1,4.917571707045391,0.5751131176960486,11,31.4093896713615,150,0.1784037558685446,6.495774647887324,1065,3459,1.4769292515045656,0.17282650341273395,2003-12
2,8.074644994765821,0.6071192622110662,25,10.62152133580705,80,0.437847866419295,6.7482993197278915,1617,5456,1.5677592427355507,2.637841154433234,2004-03
3,10.913227114078314,0.5763724630248743,38,4.136527563111798,35,0.5729005667181865,6.6161772282328695,1941,6421,1.470883970114301,16.310836224058768,2004-06
4,9.328649398474425,0.6208428443012622,31,2.89723991507431,35,0.6700636942675159,14.989384288747345,2355,17650,1.7417963576570255,5.037006335412399,2004-09
5,8.859256491816152,0.6111584383970132,26,2.4840060929169843,44,0.7094440213252095,14.395277989337396,2626,18901,1.943452411135956,0.6830381873062898,2004-12
6,8.081721160363472,0.602924977574092,25,2.2472183588317107,44,0.7367872044506258,13.992350486787204,2876,20121,2.0781986976663234,1.5785034964561375,2005-03
7,7.231536830885365,0.6035177673244392,25,1.6454685099846393,28,0.7548387096774194,13.984024577572965,3255,22759,2.236857515291339,1.11501498368935,2005-06
8,5.817880514548812,0.6614350062963273,22,1.2924891053576006,28,0.791335554985901,49.79748782363497,3901,97130,2.381161654481582,1.0760941015228942,2005-09
9,5.824661981152325,0.6595956389167925,22,1.0657356128100168,20,0.8049602696845654,47.39080183000241,4153,98407,2.4723897380496505,0.8396536886210655,2005-12
10,5.71604522385829,0.6543495844874331,20,1.151759025063233,24,0.8126005978385836,45.778339848240975,4349,99545,2.5524897362723684,0.19241035128500417,2006-03
11,5.769808033392037,0.6508817783889511,20,1.063499014670462,31,0.8298664331070725,44.47646157214802,4567,101562,2.598258562015281,0.1324470452967198,2006-06
12,5.549794276983453,0.652506916187987,17,1.0494574290484138,31,0.8345158597662772,44.06719532554257,4792,105585,2.717613326263262,0.00524017443817428,2006-09
13,5.557114965871558,0.6433717867072718,19,0.8671890697207152,20,0.8428772352822985,42.96765119549929,4977,106925,2.7572258461678105,0.17148008666209968,2006-12
14,5.455669074824309,0.6434157746392978,18,0.8918395037798024,20,0.8427989920527234,41.970536925760804,5159,108263,2.7689132025707486,0.0818441424315346,2007-03
15,5.397135225941985,0.6378133949215042,20,0.8273114693348157,20,0.8508430609597925,40.732999814711874,5397,109918,2.610092008799407,1.2449102288274156,2007-06
16,5.296911802538209,0.6365883612850537,20,0.8058739255014327,20,0.8549426934097422,39.9237106017192,5584,111467,2.639304888024981,1.1485325197927003,2007-09
17,5.264894333636507,0.6373415693472575,20,0.8107827890098496,20,0.8548470710212546,38.99326075686884,5787,112827,2.6158896369052966,1.350669047546133,2007-12
18,5.246121080345679,0.6368172759948452,20,0.840935869382259,20,0.8555798687089715,38.466588116478704,5941,114265,2.6524384204051685,1.2703463324282296,2008-03
19,5.197894691904149,0.6356571640505553,20,0.8303060055637376,20,0.8589428898707249,37.81246931762396,6111,115536,2.6608333483448967,1.8267765686629727,2008-06
20,5.19477143821924,0.6390346153464939,20,0.678752374920836,20,0.873495883470551,37.274224192526916,6316,117712,2.683038474464925,1.5305846694444987,2008-09
21,5.170928351626835,0.6384855104564738,19,0.6592763664357197,20,0.8759045419553503,36.72301770592764,6495,119258,2.8030985149048515,0.7649092854187695,2008-12
22,5.132217338274847,0.6354999636137009,16,0.6611270584680466,20,0.8773228584378305,36.290074029309565,6619,120102,2.9012850377639907,0.13362235574446346,2009-03
23,5.1152163838097024,0.6350583253161828,16,0.6516327427148924,20,0.8810953287450578,35.58412651925612,6829,121502,2.9159745752221577,0.15085062174355274,2009-06
24,5.109119909139789,0.6347143154711721,16,0.64937106918239,20,0.8829331046312179,35.11177815894797,6996,122821,2.9144194825491607,0.10794403954885501,2009-09
25,5.0754067852219995,0.6348233726259853,16,0.6289718329401971,20,0.8874705147772999,34.60413486887748,7207,124696,2.9406444077887497,0.0976526371487958,2009-12
