,avg_shortest_path_len_m3,avg_clus_coef_m3,net_diameter_m3,susceptibility_3m,corrlength_3m,percolation_3m,avg_degree_3m,n_nodes_3m,n_edges_3m,fractal_dimension_3m,error_ratio_3m,time_window
0,3.206821480406386,0.6914169715311721,7,9.259100642398286,23,0.11349036402569593,5.2762312633832975,467,1232,0.8862750292847043,1.0348494617507482,1986-03
1,4.583333333333333,0.5455851181273755,12,9.562200956937799,38,0.22009569377990432,4.997607655502392,836,2089,1.5159710798934365,0.34156165965506496,1986-06
2,4.8964717025811035,0.46026958338515794,12,24.787489288774633,138,0.17652099400171378,4.946015424164524,1167,2886,1.7448269807692864,0.24527877364246112,1986-09
3,9.146392372675937,0.5518177829412096,23,5.538611291369241,36,0.4334847501622323,5.170668397144711,1541,3984,1.6297887071120234,6.509475840422738,1986-12
4,7.147157211508457,0.5750067868615939,24,4.129430719656283,35,0.5268528464017186,5.834586466165414,1862,5432,1.87636176715759,1.0032576889405334,1987-03
5,6.787558583798873,0.6007034899804402,19,2.8236380424746077,29,0.615881809787627,6.532779316712834,2166,7075,2.0865641619149273,0.20188614503679936,1987-06
6,6.785658482857546,0.593169009726408,20,2.3650727650727648,18,0.6365904365904366,6.632016632016632,2405,7975,2.149529439944323,0.6603541036178195,1987-09
7,6.758706315768048,0.6056885928566131,22,2.146341463414634,17,0.6752821259555879,6.912995995631598,2747,9495,2.226567508536477,0.7983404125714092,1987-12
8,6.837306549442152,0.6073560547918465,20,1.5406040268456378,17,0.7365771812080537,7.185906040268456,2980,10707,2.348751890012995,0.13373528763696876,1988-03
9,6.662929396041665,0.6108258813035445,20,1.4233508826262002,17,0.7559615980179623,7.4097243728708575,3229,11963,2.3890990143037456,0.15261057805652328,1988-06
10,6.403409331904413,0.6120538263098534,20,1.4831332189822755,21,0.7604345340194397,7.563178959405374,3498,13228,2.37816505428243,0.31319021458618723,1988-09
11,6.383186178540033,0.6113479184070028,20,1.6285405988670083,25,0.7628810358780685,7.6018343674130024,3707,14090,2.403940261648636,0.2261911136152849,1988-12
12,6.097549761704514,0.6130568584931202,20,1.6724137931034482,28,0.7683658170914542,7.952523738130934,4002,15913,2.53095042100972,0.2378841543574575,1989-03
13,6.023723758874646,0.6187389436083769,20,1.6028402366863905,28,0.7803550295857988,8.23337278106509,4225,17393,2.5514020921383276,0.21441484855847395,1989-06
14,5.896498832517256,0.616924933906251,20,1.4202378281355172,28,0.7931343953331838,8.55642809064393,4457,19068,2.5404959003502925,0.2713478122929007,1989-09
15,5.752143763581151,0.6163255480109974,20,1.2074778474173329,24,0.8057056408039767,8.94791441538794,4627,20701,2.5513255002152952,1.0251643228076017,1989-12
16,5.670711821158872,0.6169010227648938,20,1.225102880658436,24,0.8098765432098766,9.30164609053498,4860,22603,2.514240348746105,0.9108107883673514,1990-03
17,5.5783880238985235,0.616678713315492,20,1.152994662976873,24,0.8191342162482704,9.58094485076102,5059,24235,2.5769943589826694,0.6232466744121766,1990-06
18,5.562691744786436,0.6200670471860311,18,1.1216164696911932,24,0.8276782310331682,9.821197102554327,5246,25761,2.6466433549754473,0.7370810371753669,1990-09
19,5.492481276119749,0.6236800840031346,20,1.0296500920810314,24,0.8373848987108655,10.0195211786372,5430,27203,2.594958570761904,1.2204912878204437,1990-12
20,5.427582578210035,0.624942395283506,20,0.8703406456215445,16,0.8487604779739611,10.377028714107366,5607,29092,2.6240216169347184,1.094038031927807,1991-03
21,5.3655504299460235,0.6267677442602654,20,0.8284828655071467,16,0.8537971413810918,10.620974685724127,5807,30838,2.6302432898916734,1.456070141592948,1991-06
22,5.306817957825526,0.6272920353518922,19,0.823084677419355,17,0.8580309139784946,10.784610215053764,5952,32095,2.3998248459100613,13.962914528095416,1991-09
23,5.2706466459853845,0.6311566316877434,19,0.7638730675345808,17,0.8652563059397884,11.081855166802278,6145,34049,2.417049122180083,14.487186967313892,1991-12
24,5.190596784598319,0.630988001210882,17,0.7580082461148113,18,0.866476371709483,11.549952426260704,6306,36417,2.7793643939135793,0.4720148201417422,1992-03
25,5.176947975903545,0.6314583379535934,17,0.7934279543350816,22,0.8684048133292194,11.652884912064177,6482,37767,2.8450407503987836,0.4750246968664821,1992-06
26,5.16381638973324,0.6300069514365599,17,0.7614986293024673,22,0.8708498324703016,11.754188242461163,6566,38589,2.83767827701311,0.5389118225834941,1992-09
27,5.166712270167988,0.6290137409323676,17,0.8529368029739777,23,0.8703345724907063,11.831078066914499,6725,39782,2.8530969646034388,0.5777636817584197,1992-12
28,5.113416838416162,0.6289202481857274,17,0.8384437373445184,23,0.8751807925947354,12.108186288689616,6914,41858,2.812288885639117,1.3019332600762454,1993-03
29,5.1109179323476255,0.6291015865446267,17,0.6637554585152838,23,0.8881532610226792,12.39104099168897,7099,43982,2.8047133925082184,1.0526316344601918,1993-06
