,avg_shortest_path_len_m3,avg_clus_coef_m3,net_diameter_m3,susceptibility_3m,corrlength_3m,percolation_3m,avg_degree_3m,n_nodes_3m,n_edges_3m,fractal_dimension_3m,error_ratio_3m,time_window
0,1.8,0.6080952380952381,3,3.612403100775194,9,0.01937984496124031,2.193798449612403,516,566,,,1976-12
1,3.187692307692308,0.6928321678321679,7,3.949514563106796,13,0.02524271844660194,2.0407766990291263,1030,1051,1.0497959010695164,1.604949083698411,1977-03
2,3.7853658536585364,0.6229613205222962,7,4.282608695652174,23,0.028751753155680224,2.0743338008415146,1426,1479,1.347058691344002,4.943121263576173,1977-06
3,5.231556760012045,0.5522697492209686,13,4.736460078168621,25,0.04578447794528197,2.174204355108878,1791,1947,1.4921072524048167,5.277241742823327,1977-09
4,6.39220097487814,0.568375412863602,16,5.729243542435425,34,0.05857933579335793,2.2398523985239853,2168,2428,1.4793342001502872,11.573351189315439,1977-12
5,10.555767547305335,0.5363724532620855,30,5.165272799681402,44,0.11907606531262445,2.2755874153723616,2511,2857,1.3786846816077347,38.92270174569537,1978-03
6,10.584509078733086,0.537315640778166,30,5.495173400071505,44,0.12978190918841617,2.338934572756525,2797,3271,1.4134545242072494,31.086367817008554,1978-06
7,13.380712332377845,0.5131683684375004,38,4.555974842767296,24,0.189937106918239,2.469182389937107,3180,3926,1.5081767685926653,19.16468933642438,1978-09
8,12.287395401610539,0.5112327365587098,35,5.680926430517711,36,0.19427792915531336,2.560217983651226,3670,4698,1.6553817017519206,7.915305241834991,1978-12
9,11.073113066578117,0.5040745449551116,30,5.848161033797217,64,0.2363320079522863,2.6292246520874754,4024,5290,1.8819404909315955,1.7472964584490989,1979-03
10,11.85216087970579,0.5038931014228208,40,6.177737059092992,84,0.2679798442510307,2.69674759505268,4366,5887,1.7553035347159178,11.563520733408492,1979-06
11,11.263026385927505,0.5037677925038623,32,4.619978284473399,33,0.30575461454940284,2.7413680781758956,4605,6312,1.972724884694953,1.8216528939017897,1979-09
12,10.417178455262142,0.5025055383213278,30,4.921632653061224,38,0.336734693877551,2.8351020408163263,4900,6946,2.0959085670583635,0.5373710320651561,1979-12
13,10.917174921483454,0.5084735926165285,35,4.319605568445476,40,0.3768368136117556,2.891724671307038,5172,7478,2.077268357303385,1.9068844452848284,1980-03
14,9.941866549349438,0.5151098599174926,28,3.68161845477847,42,0.4179787623581106,2.9783961918711093,5462,8134,2.2843981082560583,0.31997359543227594,1980-06
15,9.719936656124643,0.5191449192868755,25,3.571527777777778,44,0.4440972222222222,3.020138888888889,5760,8698,2.340143911243223,0.12494269134366168,1980-09
16,9.572281875746082,0.5129173455541446,26,3.2251864125932066,35,0.4704225352112676,3.0853355426677713,6035,9310,2.223196482955913,0.24743109481126607,1980-12
17,9.446613366685948,0.5214622123913082,25,2.814078282828283,28,0.4952651515151515,3.1392045454545454,6336,9945,2.3941479680549778,1.0961991898383183,1981-03
18,9.065102058711325,0.5242294397550431,27,2.706437125748502,28,0.5235029940119761,3.254491017964072,6680,10870,2.4145456051486014,1.7858539655439571,1981-06
19,8.60739298896377,0.5309601431967235,26,2.554335424985738,29,0.5469195664575014,3.33998859098688,7012,11710,2.5424477637540086,0.7886115914360707,1981-09
20,8.428670446592243,0.5340893288284294,26,2.5185586561907343,29,0.5613654836087781,3.4015172040097537,7382,12555,2.511378641576218,1.7327909279087097,1981-12
21,8.193791903177647,0.5394349394530362,26,2.3838409912235416,29,0.5838926174496645,3.4971605575632423,7748,13548,2.6745759390958352,0.16150523661138907,1982-03
22,8.169329005548922,0.5405440695769868,25,2.2904744209092036,29,0.5995292951814691,3.555060076799207,8073,14350,2.6111074619896724,1.3892897872729217,1982-06
23,8.045855489758262,0.5449239829741099,24,2.215733015494637,30,0.6126340882002383,3.640524433849821,8390,15272,2.716957655182439,0.3466659005445356,1982-09
24,8.09229120243703,0.5475424129371322,25,1.8604544935480187,22,0.6357199954322257,3.670891857942218,8757,16073,2.6678818347069853,0.3372910185677871,1982-12
25,7.960070630986531,0.549527855105402,25,1.8334247176225467,22,0.648755345980919,3.7433929158899004,9119,17068,2.729517617990322,0.6210438062315002,1983-03
26,7.887359505697022,0.5499912857002202,25,1.7197492829066183,24,0.6642940614044407,3.8009136300860513,9413,17889,2.7646783779379365,0.5875397765535945,1983-06
27,7.764748214146267,0.5534250876013267,25,1.7140083784612241,24,0.67027689792582,3.841831000306529,9787,18800,2.7930210029753955,0.7005398717490552,1983-09
28,7.621987403646626,0.5558034537817029,26,1.609101631609986,24,0.6798702575191665,3.9034794574405347,10174,19857,2.7410245536447237,0.7813473746569737,1983-12
29,7.506550851347544,0.554962182603125,24,1.5783315894606678,25,0.6911442975363835,3.965756682202987,10513,20846,2.796233018106637,0.8670330845649565,1984-03
