,avg_shortest_path_len_m3,avg_clus_coef_m3,net_diameter_m3,susceptibility_3m,corrlength_3m,percolation_3m,avg_degree_3m,n_nodes_3m,n_edges_3m,fractal_dimension_3m,error_ratio_3m,time_window
0,2.251231527093596,0.795952790729667,5,6.3401759530791795,18,0.08504398826979472,4.475073313782991,341,763,,,1977-03
1,2.845528455284553,0.7374258600098935,7,8.01923076923077,27,0.0673076923076923,5.102564102564102,624,1592,1.221310505156783,0.3099766568774321,1977-06
2,2.887179487179487,0.6476426807367286,7,8.646191646191646,27,0.08108108108108109,4.653562653562654,814,1894,1.4798844142142096,0.18842247296114273,1977-09
3,4.7724919489625375,0.6830585115311887,12,6.491525423728814,27,0.20903954802259886,5.393596986817326,1062,2864,1.6128210325752295,0.18523642955957756,1977-12
4,5.531515376370682,0.5938660606695492,20,6.424460431654676,29,0.24940047961630696,5.502797761790568,1251,3442,1.476577903644662,3.175013178803215,1978-03
5,5.623539189361974,0.6308450107268787,21,8.691880638445523,68,0.2748091603053435,6.019430950728661,1441,4337,1.4807207322478837,5.372325937736264,1978-06
6,5.696019789101067,0.646731721165404,21,8.885898186073728,80,0.35868929198361615,7.1023990637799885,1709,6069,1.6784598316610793,1.7389906072976526,1978-09
7,7.939339766731464,0.6256069237608444,35,7.735896155766351,91,0.4153769345981028,8.227658512231653,2003,8240,1.4091676724302171,27.544852887946163,1978-12
8,7.445015709243241,0.5797640554061192,29,4.663082437275985,54,0.4551971326164875,8.724910394265233,2232,9737,1.743527596030059,1.7155524084896792,1979-03
9,7.660364498444214,0.5782341413616502,26,4.695328648201736,54,0.4923522116577098,8.921041752790408,2419,10790,1.8466506205176674,0.6195232891322444,1979-06
10,8.204935578150085,0.5838044601188679,34,2.56489732661759,34,0.5536613715614103,8.923672994963193,2581,11516,1.8186492237681045,2.519376034732279,1979-09
11,7.887302741315226,0.5904602868712768,28,2.6454910551296096,37,0.5538517707192406,8.86820007301935,2739,12145,1.913874541314249,1.2566125880957872,1979-12
12,7.068527897517102,0.6009964013014697,24,2.415695681973955,37,0.5801919122686772,11.203564084989718,2918,16346,2.0516044031312934,0.8920208571883081,1980-03
13,6.882815917165666,0.6022940505039273,22,2.494747209455023,37,0.5807616546290216,11.282337491792514,3046,17183,2.129999390289445,0.24822074991191098,1980-06
14,6.9973184839215135,0.602884409958754,24,2.331559173450219,37,0.5926737633061991,11.157169693174703,3194,17818,2.082168675443079,0.9905243911456689,1980-09
15,6.799992715490825,0.5996087608336534,23,2.469221484610742,39,0.5875075437537719,9.681955340977671,3314,16043,2.153333198127337,0.7267111621451858,1980-12
16,6.7505337206935065,0.5973007689670193,24,2.1243133853714946,18,0.6039317721884938,9.803989592367737,3459,16956,2.2360695617712563,0.368202044453315,1981-03
17,6.688515167686567,0.5979242054744401,21,2.1090506504290065,18,0.6075283697758096,9.707168557985055,3613,17536,2.27503146367789,0.35299144183443776,1981-06
18,6.6575576890843475,0.5989588072804134,21,2.1779978586723767,18,0.6057280513918629,9.75321199143469,3736,18219,2.284685614303775,0.2566651437655894,1981-09
19,6.582971900609172,0.5963642995878272,20,2.5120895902265206,24,0.6121150419954187,9.966403665054722,3929,19579,2.3400370048070473,0.30668385811364535,1981-12
20,6.6502987949037164,0.5913548042533234,20,2.4173441734417342,24,0.6201034737620104,9.92461197339246,4059,20142,2.362296818987462,0.27677053922254286,1982-03
21,6.531632683018894,0.5904745594108992,20,2.673790511977454,35,0.6282292155941757,10.31564114607797,4258,21962,2.3700463374517167,0.8829396303218418,1982-06
22,6.355107404635641,0.6037679910498637,19,2.358588129496403,35,0.6508543165467626,12.553057553956835,4448,27918,2.4374303815799303,0.6488966112495328,1982-09
23,6.459560650140396,0.5874966386423028,21,2.391686826478997,35,0.6496591159005938,10.961073235100066,4547,24920,2.399762260666271,0.32341137132791853,1982-12
24,6.269122789350164,0.5977325002324587,21,2.0603941513032424,27,0.6692095783004874,13.452002542911634,4719,31740,2.439779828074003,0.3946581541325633,1983-03
25,6.182184143331229,0.6015332091534719,21,1.9963039014373714,27,0.675564681724846,13.84517453798768,4870,33713,2.465279013392248,0.5320858761519363,1983-06
26,6.2781427063323125,0.6006117309685701,23,1.8186027783370249,25,0.6845178175961345,13.746325749949667,4967,34139,2.35039361577567,2.1253549096837956,1983-09
27,6.0945776969960015,0.6048518383853507,23,1.824835843955195,26,0.6873310158362302,14.597528003089996,5178,37793,2.369405133881275,1.8007631640260484,1983-12
28,6.26093538425453,0.599901002352273,26,1.700170357751278,26,0.6922203293583191,14.486844595873556,5283,38267,2.3426567484637473,2.166480920835993,1984-03
29,6.352844147650385,0.5970789118932212,26,1.4940070071915912,24,0.7056979531624562,14.714733542319749,5423,39899,2.3305133383673065,2.0848048652724116,1984-06
