,avg_shortest_path_len_m3,avg_clus_coef_m3,net_diameter_m3,susceptibility_3m,corrlength_3m,percolation_3m,avg_degree_3m,n_nodes_3m,n_edges_3m,fractal_dimension_3m,error_ratio_3m,time_window
0,1.344055944055944,0.9743823531669004,4,5.144262295081967,25,0.21639344262295082,13.298360655737705,305,2028,,,1982-09
1,1.6669004207573632,0.9017395845453882,4,7.430016863406408,42,0.15682967959527824,9.976391231028668,593,2958,,,1982-12
2,1.6669004207573632,0.9017395845453882,4,14.082781456953642,66,0.10264900662251655,12.913907284768213,906,5850,,,1983-03
3,2.2727421198758777,0.7602849539615781,7,15.557805907172995,98,0.13248945147679325,13.20337552742616,1185,7823,1.3342730057673464,1.2230251581670302,1983-06
4,2.2773522534870594,0.7630120725681263,7,14.754565376186997,98,0.1154127100073046,12.051132213294375,1369,8249,1.0885829202108732,2.999370266899495,1983-09
5,4.4375240982277,0.8169880248884339,10,7.271195957327345,65,0.3082537900056148,13.366647950589556,1781,11903,1.784166215512841,0.014112745920723842,1983-12
6,4.915058397351821,0.8034661087481917,14,7.186721991701245,75,0.30809128630705396,12.839211618257261,1928,12377,1.4438378016095197,1.5404457819037198,1984-03
7,5.404468661686976,0.7315198049222339,18,5.090027700831025,51,0.3430286241920591,12.935364727608494,2166,14009,1.5626473256215188,6.731327814518347,1984-06
8,5.461202529434371,0.7403471769538101,18,5.225560897435898,51,0.3954326923076923,14.037660256410257,2496,17519,1.842642504927824,0.6550894208776554,1984-09
9,6.859119038369615,0.7060459043245702,26,4.451283987915408,51,0.422583081570997,13.864803625377643,2648,18357,1.613655580792989,3.830527927110553,1984-12
10,6.878901601304937,0.7014792588070823,26,3.5421853388658366,32,0.45643153526970953,14.612033195020746,2892,21129,1.7948514740085053,1.2644516962402048,1985-03
11,6.95130946490422,0.6911297963541432,26,3.4537303874479672,41,0.4819084213896894,15.024015369836695,3123,23460,1.8627117148068941,1.8189707824518846,1985-06
12,6.683917165990387,0.6902392092153162,25,2.9455842997323813,23,0.5052036871840618,15.540886113589057,3363,26132,1.964463875490888,0.9017103133042701,1985-09
13,6.79768635004367,0.6701564360810326,25,3.109162895927601,38,0.5260180995475113,15.448529411764707,3536,27313,1.9715657852580184,2.0354111853946804,1985-12
14,6.911411438973277,0.6589069914002088,26,2.9569978632478633,28,0.5291132478632479,15.184294871794872,3744,28425,2.0057003513938487,1.8343922450347685,1986-03
15,7.272325371235945,0.6519235620264635,28,2.7330109442606254,24,0.5505217612624077,15.001272588444897,3929,29470,1.972104426954012,1.63835327611467,1986-06
16,7.528767476594814,0.6387361635371945,29,2.5368446484658134,26,0.5757429330756221,14.896834984295724,4139,30829,2.041572511609564,0.8977159139790604,1986-09
17,7.279174376220658,0.6388418639473148,29,2.2495412844036697,26,0.5935779816513761,14.975229357798165,4360,32646,2.0766932356787273,1.2642549971392967,1986-12
18,7.386477704312352,0.632654817801714,26,2.1828316610925307,26,0.6049052396878484,14.672017837235229,4485,32902,2.2171012359510347,0.2972788297585579,1987-03
19,7.288016143645893,0.6294740759215894,28,2.1171458998935035,26,0.6157614483493078,15.328647497337593,4695,35984,2.2271668094961385,0.8357083113440127,1987-06
20,7.195476226589605,0.6267455648750233,26,2.04930441898527,26,0.6282733224222586,15.150572831423895,4888,37028,2.2109133683185913,0.4962193169136347,1987-09
21,7.196329576394617,0.6237242256174078,25,2.134392780066706,34,0.6352756523445163,15.107318030213852,5097,38501,2.3250059764181334,0.573142884483485,1987-12
22,7.0894516394330775,0.6222041290212296,25,2.2274107820804856,34,0.6370539104024298,14.899012908124526,5268,39244,2.3395852365791066,0.9193783742961259,1988-03
23,7.089237787560352,0.6177697188672044,24,2.0203590597816024,34,0.6516749953729409,14.826947991856375,5403,40055,2.4030557722545405,0.35630520858279147,1988-06
24,6.956603990998862,0.6197178241072058,23,1.9928812956042001,30,0.6561665776828617,14.915109450080086,5619,41904,2.3836509423171948,0.8987528931304704,1988-09
25,6.921141846606391,0.6181807293824426,25,2.2011009805608115,40,0.6568037158093928,15.010493720970238,5813,43628,2.3556458659227695,1.1643579476626993,1988-12
26,6.741271323090429,0.6187722224416724,24,2.324369467178888,42,0.6619341907466176,15.275096041423083,5987,45726,2.4647830392684034,0.5830537060308899,1989-03
27,6.696863752914768,0.6164239923458098,23,2.2586597604402723,43,0.6717384266752995,16.00809323405633,6178,49449,2.4456069306658392,0.4442263110286718,1989-06
28,6.696451916927752,0.6155134991808143,23,2.331393519974835,44,0.6714375589808116,15.814092481912551,6358,50273,2.4339775004917428,1.775568538809597,1989-09
29,6.707525685346792,0.6164033027958403,23,2.238871951219512,44,0.682469512195122,15.840548780487804,6560,51957,2.4706266801625376,1.6760512507377805,1989-12
