,avg_shortest_path_len_m3,avg_clus_coef_m3,net_diameter_m3,susceptibility_3m,corrlength_3m,percolation_3m,avg_degree_3m,n_nodes_3m,n_edges_3m,fractal_dimension_3m,error_ratio_3m,time_window
0,1.0,1.0,1,2.2659574468085104,5,0.026595744680851064,1.7659574468085106,188,166,,,1970-03
1,1.4,0.95,2,2.8704225352112673,6,0.028169014084507043,1.8591549295774648,355,330,,,1970-06
2,1.4,0.95,2,3.07378640776699,10,0.019417475728155338,1.9572815533980583,515,504,,,1970-09
3,1.7564102564102564,0.916056166056166,3,3.4491180461329716,11,0.017639077340569877,1.8914518317503393,737,697,,,1970-12
4,2.9473684210526314,0.5329573934837093,6,3.82662192393736,15,0.021252796420581657,1.9328859060402686,894,864,,,1971-03
5,3.2933333333333334,0.613047619047619,6,3.973320158102767,15,0.024703557312252964,1.9743083003952568,1012,999,,,1971-06
6,3.236923076923077,0.618986568986569,6,4.380136986301369,22,0.02226027397260274,2.006849315068493,1168,1172,,,1971-09
7,3.5126436781609196,0.6531216931216932,7,4.755770662695459,23,0.022338049143708117,2.0655249441548773,1343,1387,1.4590219582913306,2.536430532887234e-30,1971-12
8,3.5126436781609196,0.6531216931216932,7,5.3659961064244,25,0.01946787800129786,2.110317975340688,1541,1626,1.4590219582913306,2.536430532887234e-30,1972-03
9,5.629019607843137,0.38779956427015244,15,5.533132530120482,34,0.03072289156626506,2.144578313253012,1660,1780,1.1559132659092168,7.322487620279142,1972-06
10,5.646327683615819,0.35412698412698407,15,6.2406892718176765,42,0.033351862145636464,2.175653140633685,1799,1957,1.1802968909528926,4.316237776453833,1972-09
11,7.315363881401617,0.4010257562144354,19,5.4509903504316926,37,0.05383443372270188,2.2173692229558153,1969,2183,1.2710137750053936,4.963381489012945,1972-12
12,7.4843968327899395,0.4444722918407129,19,6.735778091208274,65,0.0535966149506347,2.2482369534555713,2127,2391,1.28105683049424,2.392818578595758,1973-03
13,7.506920634920635,0.45565690922833785,19,8.20746334962239,88,0.05597512216792536,2.2701021768103065,2251,2555,1.3643404318520942,1.1110705855733165,1973-06
14,7.567204836887915,0.4948619707240397,19,9.180232558139535,100,0.07225913621262459,2.336378737541528,2408,2813,1.4639934481128012,1.9286505506483262,1973-09
15,8.156741047239052,0.5185927658699937,19,10.989113530326595,119,0.07853810264385692,2.3895800933125972,2572,3073,1.5170267078452948,0.9485265046382966,1973-12
16,7.84606971975393,0.49799097727669156,19,13.32796486090776,145,0.07686676427525622,2.4092240117130306,2732,3291,1.517142510462334,2.4544388200046487,1974-03
17,11.959436090225564,0.5714160443314859,28,5.77874261896492,38,0.13893713094824592,2.436262591177492,2879,3507,1.5431140473402023,9.715398628219926,1974-06
18,12.024968760905539,0.5641259497093064,28,5.9683714670255705,42,0.14199192462987886,2.4508748317631226,2972,3642,1.5322038349660656,10.488387179367361,1974-09
19,11.273064802708774,0.5656077295467408,29,6.028821243523316,44,0.15835492227979275,2.474740932642487,3088,3821,1.5291233375683417,10.093360598654773,1974-12
20,9.909571256038648,0.5579534110098805,23,5.969033468877071,44,0.18016890835157962,2.519862370972787,3197,4028,1.7563489876318537,1.3806791097566693,1975-03
21,10.797879301445635,0.548530933202879,25,5.691402714932126,47,0.21176470588235294,2.541779788838612,3315,4213,1.8108779654095046,1.5642516399795598,1975-06
22,10.961043887491073,0.5453434674988993,26,5.039146947122408,37,0.2401402278702892,2.5620800467426235,3423,4385,1.8688585992460185,2.1708159397008737,1975-09
23,9.909506530704986,0.5535009383231833,24,5.295802057269947,48,0.2596608284681679,2.672782874617737,3597,4807,1.9271320536655245,1.6714953044612673,1975-12
24,9.82257049345418,0.557886218950884,24,5.2411670235546035,48,0.26579229122055675,2.6975374732334045,3736,5039,1.9292386277263345,1.7438112612813073,1976-03
25,9.719139139705813,0.5609307988669243,24,6.009336099585061,72,0.2671161825726141,2.720954356846473,3856,5246,1.9720874982714987,2.3636566548070603,1976-06
26,9.735836654393683,0.5653645662663931,24,6.2505005005005,94,0.28603603603603606,2.7582582582582584,3996,5511,1.995996421189528,1.184342210457049,1976-09
27,9.603608641740058,0.5637756445517844,24,6.246468582562104,95,0.29322942036044813,2.772528007793473,4106,5692,2.0073030580635147,0.946945696317727,1976-12
28,9.565773242888902,0.5664023521689927,23,6.069936634592819,96,0.31095986857545177,2.815770945787374,4261,5999,2.0861060799716378,0.5952369893634651,1977-03
29,9.575399298792364,0.5659464671608492,24,6.4055162981536355,99,0.31000683838614085,2.8383861408707545,4387,6226,2.099321091700111,0.6400438245642577,1977-06
